order_id,order_date,customer_id,sku,product_name,category,region,channel,quantity,unit_price
ORD-00001,2026-01-07,CUST-0032,SKU-002,Mechanical Keyboard,Electronics,EMEA,online,2,129.00
ORD-00002,06-01-2026,CUST-0004,SKU-002,Mechanical Keyboard,Electronics,APAC,online,4,129.00
ORD-00003,24/05/2026,CUST-0070,SKU-001,Wireless Mouse,Electronics,LATAM,online,8,29.99
ORD-00004,2026-07-27,CUST-0021,SKU-005,Ergonomic Chair,Furniture,LATAM,retail,5,249.00
ORD-00005,02-25-2026,CUST-0044,SKU-003,USB-C Hub,Electronics,APAC,online,7,45.50
ORD-00006,02/04/2026,CUST-0078,SKU-002,Mechanical Keyboard,Electronics,AMER,online,8,129.00
ORD-00007,2026-04-07,CUST-0038,SKU-002,Mechanical Keyboard,Electronics,AMER,wholesale,4,129.00
ORD-00008,01-12-2026,CUST-0038,SKU-002,Mechanical Keyboard,Electronics,APAC,online,2,129.00
ORD-00009,13/03/2026,CUST-0047,SKU-007,Gel Pen Pack,Stationery,EMEA,retail,6,3.20
ORD-00010,2026-06-21,CUST-0010,SKU-004,Standing Desk,Furniture,EMEA,wholesale,4,399.00
ORD-00011,04-29-2026,CUST-0072,SKU-003,USB-C Hub,Electronics,EMEA,wholesale,6,45.50
ORD-00012,28/02/2026,CUST-0041,SKU-001,Wireless Mouse,Electronics,LATAM,retail,2,29.99
ORD-00013,2026-05-26,CUST-0041,SKU-004,Standing Desk,Furniture,EMEA,wholesale,8,399.00
ORD-00014,06-14-2026,CUST-0034,SKU-007,Gel Pen Pack,Stationery,EMEA,online,9,3.20
ORD-00015,11/07/2026,CUST-0075,SKU-005,Ergonomic Chair,Furniture,LATAM,retail,4,249.00
ORD-00016,2026-05-11,CUST-0007,SKU-003,USB-C Hub,Electronics,APAC,online,3,45.50
ORD-00017,06-02-2026,CUST-0049,SKU-007,Gel Pen Pack,Stationery,LATAM,wholesale,5,3.20
ORD-00018,24/06/2026,CUST-0069,SKU-001,Wireless Mouse,Electronics,AMER,wholesale,6,29.99
ORD-00019,2026-03-17,CUST-0059,SKU-002,Mechanical Keyboard,Electronics,APAC,wholesale,5,129.00
ORD-00020,05-10-2026,CUST-0039,SKU-003,USB-C Hub,Electronics,EMEA,online,6,45.50
ORD-00021,19/05/2026,CUST-0068,SKU-003,USB-C Hub,Electronics,APAC,wholesale,6,45.50
ORD-00022,2026-01-05,CUST-0047,SKU-008,Coffee Beans 1kg,Grocery,AMER,online,1,18.90
ORD-00023,05-26-2026,CUST-0011,SKU-004,Standing Desk,Furniture,LATAM,online,9,399.00
ORD-00024,02/02/2026,CUST-0071,SKU-003,USB-C Hub,Electronics,EMEA,retail,9,45.50
ORD-00025,2026-02-24,CUST-0026,SKU-007,Gel Pen Pack,Stationery,AMER,retail,6,3.20
ORD-00026,05-13-2026,CUST-0032,SKU-008,Coffee Beans 1kg,Grocery,EMEA,online,6,18.90
ORD-00027,31/05/2026,CUST-0076,SKU-001,Wireless Mouse,Electronics,EMEA,online,2,29.99
ORD-00028,2026-02-28,CUST-0005,SKU-001,Wireless Mouse,Electronics,AMER,online,9,29.99
ORD-00029,03-13-2026,CUST-0028,SKU-004,Standing Desk,Furniture,EMEA,wholesale,10,399.00
ORD-00030,04/03/2026,CUST-0053,SKU-008,Coffee Beans 1kg,Grocery,EMEA,online,2,18.90
ORD-00031,2026-04-01,CUST-0060,SKU-007,Gel Pen Pack,Stationery,APAC,wholesale,2,3.20
ORD-00032,04-14-2026,CUST-0014,SKU-001,Wireless Mouse,Electronics,EMEA,online,4,29.99
ORD-00033,05/02/2026,CUST-0036,SKU-008,Coffee Beans 1kg,Grocery,LATAM,online,2,18.90
ORD-00034,2026-07-26,CUST-0071,SKU-008,Coffee Beans 1kg,Grocery,APAC,online,9,18.90
ORD-00035,01-24-2026,CUST-0031,SKU-001,Wireless Mouse,Electronics,EMEA,retail,8,29.99
ORD-00036,24/02/2026,CUST-0008,SKU-008,Coffee Beans 1kg,Grocery,EMEA,retail,1,18.90
ORD-00037,2026-03-09,CUST-0059,SKU-007,Gel Pen Pack,Stationery,AMER,retail,9,3.20
ORD-00038,02-09-2026,CUST-0028,SKU-008,Coffee Beans 1kg,Grocery,APAC,wholesale,9,18.90
ORD-00039,11/07/2026,CUST-0007,SKU-001,Wireless Mouse,Electronics,LATAM,wholesale,9,29.99
ORD-00040,2026-01-15,CUST-0011,SKU-003,USB-C Hub,Electronics,EMEA,online,10,45.50
ORD-00041,06-22-2026,CUST-0052,SKU-002,Mechanical Keyboard,Electronics,APAC,wholesale,4,129.00
ORD-00042,08/06/2026,CUST-0075,SKU-001,Wireless Mouse,Electronics,AMER,retail,4,29.99
ORD-00043,2026-03-03,CUST-0017,SKU-006,Notebook A5,Stationery,AMER,retail,6,6.75
ORD-00044,01-03-2026,CUST-0073,SKU-002,Mechanical Keyboard,Electronics,APAC,online,9,129.00
ORD-00045,10/05/2026,CUST-0045,SKU-004,Standing Desk,Furniture,APAC,online,6,399.00
ORD-00046,2026-02-10,CUST-0070,SKU-005,Ergonomic Chair,Furniture,AMER,wholesale,9,249.00
ORD-00047,06-20-2026,CUST-0039,SKU-001,Wireless Mouse,Electronics,APAC,online,5,29.99
ORD-00048,28/01/2026,CUST-0020,SKU-002,Mechanical Keyboard,Electronics,AMER,retail,10,129.00
ORD-00049,2026-07-03,CUST-0034,SKU-004,Standing Desk,Furniture,LATAM,retail,1,399.00
ORD-00050,06-12-2026,CUST-0036,SKU-002,Mechanical Keyboard,Electronics,APAC,online,6,129.00
ORD-00051,13/06/2026,CUST-0021,SKU-003,USB-C Hub,Electronics,LATAM,wholesale,7,45.50
ORD-00052,2026-01-29,CUST-0020,SKU-001,Wireless Mouse,Electronics,APAC,retail,10,29.99
ORD-00053,04-21-2026,CUST-0040,SKU-003,USB-C Hub,Electronics,AMER,online,6,45.50
ORD-00054,24/06/2026,CUST-0014,SKU-004,Standing Desk,Furniture,AMER,wholesale,7,399.00
ORD-00055,2026-03-02,CUST-0023,SKU-003,USB-C Hub,Electronics,LATAM,online,3,45.50
ORD-00056,07-20-2026,CUST-0032,SKU-006,Notebook A5,Stationery,AMER,online,2,6.75
ORD-00057,10/01/2026,CUST-0029,SKU-007,Gel Pen Pack,Stationery,EMEA,retail,6,3.20
ORD-00058,2026-07-30,CUST-0030,SKU-005,Ergonomic Chair,Furniture,EMEA,online,4,249.00
ORD-00059,03-26-2026,CUST-0009,SKU-007,Gel Pen Pack,Stationery,AMER,retail,9,3.20
ORD-00060,23/06/2026,CUST-0069,SKU-007,Gel Pen Pack,Stationery,AMER,online,2,3.20
ORD-00061,2026-02-15,CUST-0034,SKU-005,Ergonomic Chair,Furniture,APAC,online,10,249.00
